name,address_1,address_2,city,county,postal_code,address_notes,phone,email,capabilities
Ledonova Fablab,1000 Rue des Gentianes,,Lons-le-Saunier,FRANCE,39000,,33678960857,ledonova39@gmail.com,"['three_d_printing', 'laser']"
Lorraine Fab Living Lab,49 Boulevard d'Austrasie,,Nancy,,54000,"Get to the parking next to the concert hall, we are behind the ""grande halle"" the big glass building. It's the first door! ",,fabio-alberto.cruz-sanchez@univ-lorraine.fr,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
MASTIC,740 rue de la passerelle,,Saint-Martin-d'H�res,,38400,,04 57 42 14 00,fablab-mastic@univ-grenoble-alpes.fr,"['three_d_printing', 'laser', 'precision_milling', 'vinyl_cutting']"
Makeo,"1, avenue de la gare",,Dax,Aquitaine,40100,au sein du b�timent Pulseo,767535706,bramu@pulseo.fr,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
MarsHackLab,89 Route de Bordeaux,,Marsac-sur-l'Isle,Aquitaine,24430,� cot�s du centre social,675863706,mars.hack.lab@gmail.com,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'vinyl_cutting']"
MillauLab,10 Boulevard Sadi Carnot,,Millau,Aveyron,12100,Nous sommes install� au CREA de Millau (Maison des associations).,33565600800,contact@millaulab.fr,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
M�diath�que Les Carmes (Coop fablab) ,37 Avenue Mar�chal Leclerc,,Pertuis,,84120,"Just enter the Public Library and turn right ! 
Entrez dans la  m�diath�que, le Fablab est ensuite situ� sur votre droite.",,fablab.lescarmes.paysdaix@ampmetropole.fr,"['three_d_printing', 'laser', 'vinyl_cutting']"
Nic�phore Labs,34 Quai Saint-Cosme,All�e de la sucrerie,Chalon-sur-Sa�ne,Burgundy,71100,,+33 (0)385908303,nicephorelabs@gmail.com,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
Nybi.cc,49 boulevard d'Austrasie,,Nancy,,54000,"Fablab associatif situ� au sein du Lorraine Fab Living Lab de l'universit� de Lorraine.
",no phone number (contact by mail),pilotage@nybi.fr.,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
Open Edge,"137, rue Alix Napol�on",,Dieuze,,57260,The FabLab is located in an old red brick building in the middle of a park.,33633804038,openedge@openedge.cc,"['three_d_printing', 'laser']"
Pangloss Labs #1 - Ferney-Voltaire,12bis Rue de Gex,Batiment Joseph Boisson,Ferney-Voltaire,Ain,1210,Head to the back of the building.  Look for the FabLab sign.,+33-4-50590783,fablab@panglosslabs.org,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
RED SEA STEM ,??? -??????? -????? 13 ????? ?????????  ????? ????? ???????? ,,hurghada,,2065,,1004269568,ekramy.abdelaziam@stemredsea.moe.edu.eg,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
RIBOLAB,"2, rue de l'Instituteur Ortlieb",,Ribeauvill�,Alsace - Haut-Rhin,68150,,389788846,ribolab68150@gmail.com,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling']"
SQYLAB,Ecole Albert Camus,,Trappes,,78190,,not available yet,bureau@hatlab.fr,"['three_d_printing', 'cnc_milling', 'laser', 'vinyl_cutting']"
SenartLab,34 Points de Vue,,Lieusaint,,77127,@ Icam Grand Paris Sud Campus,33181141000,senart-lab@icam.fr,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling']"
Sharkia FAB LAB,Sharkia stem school - Sharkia - Zeraa field,,Zagazig,Egypt,2,Sharkia stem school - Sharkia - Zeraa field,553739496,esam1972_sal@yahoo.com,"['cnc_milling', 'laser', 'precision_milling', 'vinyl_cutting']"
SimplonLab,4 rue Serpollet,,Paris,,75020,4 rue Serpollet,,fablabparis20@simplon.co,"['three_d_printing', 'circuit_production', 'laser', 'vinyl_cutting']"
SparkLab Dunkerque,17 Rue du Jeu de Mail,,Dunkerque,,59140,,07 60 22 96 97,lab@spark-dunkerque.fr,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'vinyl_cutting']"
SquaregoLab,,,Perpignan,,66000,"Looking for new place, will reopen soon, stay tuned",33468981332,contact@squaregolab.com,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
Stem Alex Fab Lab,Burj Al Arab,,Burj Al Arab,Alexandria,203,"new burj elarab 
Alexandria stem school",1227498827,khalid.diab@stemalex.moe.edu.eg,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
TechF@ctory,20 boulevard des Martyrs,,Gourdon,,46300,,565371022,fab-lab@polenumerique.net,"['three_d_printing', 'cnc_milling', 'laser', 'vinyl_cutting']"
Technistub,2 rue des Flandres,Atelier 5.06,Mulhouse,Grand Est,68100,More details about access to our lab are available here: http://www.technistub.org/?page_id=511,+33 9 84 17 62 91,contact@technistub.org,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
TyFab,10 rue Hegel,,Brest,,29200,We are currently looking for a new place to host our activities since our last place has closed,33650184121,tyfab@mdl29.net,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
UBO Open Factory,6 Avenue Victor le Gorgeu,,Brest,,29200,,33298018322,openfactory@univ-brest.fr,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
Volumes,78 Rue Compans,,Paris,,75019,After the GardenLab in the courtyard.,768646162,makerspace@volumesparis.org,"['three_d_printing', 'cnc_milling', 'laser', 'precision_milling', 'vinyl_cutting']"
WoMa,15 bis Rue L�on Giraud,,Paris,,75019,"Step in, it's open !",+33 1 40 18 59 21,hello@woma.fr,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
X-Fab,Avenue Coriolis Palaiseau,,Palaiseau,,91128,,169596962,xfab_formation@meslistes.polytechnique.fr,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
eMode,20 Rue du Carteron,,Cholet,France,49300,We are located in the High school  of the Lyc�e de la Mode,02.41.71.69.33,contact@emode.fr,"['three_d_printing', 'laser', 'vinyl_cutting']"
fab lab ismailia,complex education ,,ismailia,Egypt,,,1224448985,eman.elshabrawy@ismailia.moe.edu.eg,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
fablab La Verriere,2 places du 19 mars 1962,,Montreuil,,93100,Sur l'esplanade il s'agit de la grande verri�re.,,contact@fablab-laverriere.org,"['three_d_printing', 'laser', 'vinyl_cutting']"
fablab menofia,Sirs Al Layyanah,,Sirs Al Layyanah,,,,1555544333,shokry.eshak@stemmenof.moe.edu.eg,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
kalubyaFaLab,El Obour City,,El Obour City,,,,,gad.elhebry@stemkalubya.moe.edu.eg,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
kfs FAB LAB,Kafr El-Shaikh,,Kafr El-Shaikh,kafr el-shaikh,330115,,201067811150,elsayed.rashwan@gmail.com,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
menofia fablab,Sirs Al Layyanah,,Sirs Al Layyanah,menofia,33511,,,shokry29@gmail.com,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
